GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,song,RandomSpotifySongSearch,3464,0,7,0,70,0,10,0,6,0
s0,song,Song,19,244,7,13,8,58,9,20,2,17
s0,song,SongLibrary,0,57,0,2,0,16,0,5,0,4
s0,song,SongFactory,0,63,0,4,0,11,0,4,0,2
s0,server,ExternalAPIHandler,22,0,0,0,4,0,2,0,2,0
s0,server,Constants,3,0,0,0,1,0,1,0,1,0
s0,server,ErrDatasourceResponse,24,0,0,0,5,0,4,0,4,0
s0,server,ErrBadRequestResponse,0,24,0,0,0,5,0,4,0,4
s0,server,ErrBadJsonResponse,24,0,0,0,5,0,4,0,4,0
s0,server,Server,112,0,2,0,25,0,5,0,4,0
s0,database,FirestoreDatabase,360,0,10,0,85,0,13,0,8,0
s0,database,LocalDatabase,16,90,4,6,4,23,4,9,1,7
s0,csv,FactoryFailureException,0,6,0,0,0,3,0,1,0,1
s0,csv,defaultCreator,0,8,0,0,0,2,0,2,0,2
s0,csv,CSVParser,21,173,0,8,5,41,1,13,1,9
s0,kdtree,DistanceSorter,6,20,0,0,3,6,0,2,0,2
s0,kdtree,Point,2,96,2,8,1,21,2,9,0,6
s0,kdtree,AxisSorter,0,22,0,0,0,6,0,2,0,2
s0,kdtree,KdTree,48,669,15,79,7,139,13,49,0,15
s0,user,UserFactory,5,95,1,3,1,19,1,3,0,2
s0,user,User,216,531,18,26,55,122,18,37,1,32
s0,server.handlers,LoadSongFeaturesHandler.LoadSongFeaturesSuccessResponse,5,31,0,0,3,5,0,5,0,5
s0,server.handlers,GetUserIdsHandler,6,16,0,0,2,5,0,2,0,2
s0,server.handlers,LoadConnectionsHandler,8,142,0,4,3,33,0,4,0,2
s0,server.handlers,LoadSongFeaturesHandler,0,80,0,2,0,20,0,3,0,2
s0,server.handlers,GetUserHandler,0,27,0,0,0,8,0,2,0,2
s0,server.handlers,GetUserIdsHandler.GetUserIdsSuccessResponse,5,33,0,0,3,7,0,5,0,5
s0,server.handlers,LoadConnectionsHandler.LoadConnectionsSuccessResponse,5,24,0,0,3,5,0,4,0,4
s0,server.handlers,GetRandomSongsHandler,177,0,14,0,39,0,10,0,3,0
s0,server.handlers,GetRandomSongsHandler.GetRandomSongsSuccessResponse,38,0,0,0,10,0,5,0,5,0
s0,server.handlers,GetUserHandler.GetUserSuccessResponse,5,33,0,0,3,6,0,5,0,5
